,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
25,0.01,2500,global,-4.4680001445862576e-17,1.0,0.0,0.0,0.0,0.0,3.026532933177683e-16,-3.0548002715912346e-17,1.9368558875146228e-16
26,0.01,2600,global,-8.972155359944168e-17,1.0,0.0,0.0,0.0,0.0,4.913587992397594e-17,-3.8197830219762775e-18,-1.5725327820572235e-16
27,0.01,2700,global,1.3471397425105582e-16,1.0,0.0,0.0,0.0,0.0,-3.818964612844388e-17,-4.46465655707471e-17,1.2150304965675937e-16
28,0.01,2800,global,1.5580148410426552e-16,1.0,0.0,0.0,0.0,0.0,2.347979534533543e-16,-7.21792877689879e-17,2.2427796224761336e-16
29,0.01,2900,global,2.880870655750196e-18,1.0,0.0,0.0,0.0,0.0,1.0214955436862091e-16,-5.2690981001205246e-17,2.5226296713256914e-16
30,0.01,3000,global,5.100471904467215e-17,1.0,0.0,0.0,0.0,0.0,8.065412720935761e-17,1.5271297546753811e-16,3.655674046216718e-17
31,0.01,3100,global,5.1333407574652924e-17,1.0,0.0,0.0,0.0,0.0,-4.913587992397594e-17,-5.802223828341816e-17,-1.8589900601867712e-16
32,0.01,3200,global,9.023245029074772e-17,1.0,0.0,0.0,0.0,0.0,9.217742204545144e-17,-7.70589116615812e-19,1.32660011026347e-16
33,0.01,3300,global,-1.3471397425105582e-16,1.0,0.0,0.0,0.0,0.0,1.59483518820581e-16,-1.350827823829958e-17,4.56781125252264e-17
34,0.01,3400,global,1.4384981907018232e-16,1.0,0.0,0.0,0.0,0.0,3.2715049020425765e-16,-1.554439558888888e-16,9.959696872048564e-17
35,0.01,3500,global,-2.063458471152172e-17,1.0,0.0,0.0,0.0,0.0,-3.767403159361392e-17,-3.1575454871400085e-17,3.655674046216718e-17
36,0.01,3600,global,-1.664230946679388e-16,1.0,0.0,0.0,0.0,0.0,2.3591885866822634e-16,4.46465655707471e-17,1.9368558875146228e-16
37,0.01,3700,global,1.1131996014395746e-16,1.0,0.0,0.0,0.0,0.0,-1.4175756101486779e-16,7.21792877689879e-17,9.959696872048564e-17
38,0.01,3800,global,-2.554031515231474e-16,1.0,0.0,0.0,0.0,0.0,-1.0214955436862091e-16,2.0605676675629352e-17,1.4890958093553304e-16
39,0.01,3900,global,8.844449697873762e-17,1.0,0.0,0.0,0.0,0.0,-1.185310914597007e-16,2.1023338626890244e-16,9.342544331081692e-17
40,0.01,4000,global,5.217487037300793e-17,1.0,0.0,0.0,0.0,0.0,2.722174141711792e-17,2.21261491252964e-16,-1.5045161682474837e-16
41,0.01,4100,global,2.0442778001523567e-16,1.0,0.0,0.0,0.0,0.0,1.050964494851611e-16,-1.3451137754041432e-16,1.8225457448513905e-16
42,0.01,4200,global,-1.400606871598381e-16,1.0,0.0,0.0,0.0,0.0,-1.7410701127570807e-16,-6.349332465232435e-17,1.6582501378293374e-16
43,0.01,4300,global,1.8118984476050915e-16,1.0,0.0,0.0,0.0,0.0,6.623114264923256e-17,6.349332465232435e-17,1.32660011026347e-16
44,0.01,4400,global,-5.771051179845246e-17,1.0,0.0,0.0,0.0,0.0,-1.9560243843497142e-16,1.412655166595641e-16,1.32660011026347e-16
45,0.01,4500,global,-1.1038246209120764e-16,1.0,0.0,0.0,0.0,0.0,1.9518994680710743e-16,2.4531321426154308e-17,4.56781125252264e-17
46,0.01,4600,global,-8.6444685424803e-17,1.0,0.0,0.0,0.0,0.0,-2.4638683037486638e-17,1.2088826149392774e-16,-9.271153285859939e-17
