,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
110,0.1,1000,global,-1.5580148410426552e-16,0.0,1.0,0.0,0.0,0.0,3.8439070822689846e-17,9.53909499528414e-17,-1.3143648561764245e-17
111,0.1,1100,global,1.4086198113191815e-16,0.0,1.0,0.0,0.0,0.0,-7.799093714822041e-17,2.1328258017426291e-16,-5.791965637769348e-17
112,0.1,1200,global,1.4384981907018232e-16,0.0,1.0,0.0,0.0,0.0,-2.8633954899437473e-16,5.2690981001205246e-17,2.407170045057712e-16
113,0.1,1300,global,-8.940429556068935e-17,0.0,1.0,0.0,0.0,0.0,2.8520108929440296e-17,-5.3956646409604187e-17,1.5725327820572235e-16
114,0.1,1400,global,1.4235626238864828e-17,0.0,1.0,0.0,0.0,0.0,9.217742204545144e-17,2.0347924714975263e-16,-2.0993515866064831e-16
115,0.1,1500,global,-2.248294313507597e-17,0.0,1.0,0.0,0.0,0.0,,2.3566461612112283e-16,-5.272383117833876e-18
116,0.1,1600,global,1.5309437244058286e-16,0.0,1.0,0.0,0.0,0.0,-2.108499996561495e-16,2.845290545723458e-16,8.255555166535812e-17
117,0.1,1700,global,-1.4086198113191815e-16,0.0,1.0,0.0,0.0,0.0,4.521447420663967e-17,1.2579311440824161e-16,-5.4570546780402344e-17
118,0.1,1800,global,-1.221058027845877e-16,0.0,1.0,0.0,0.0,0.0,1.1054033257061112e-16,-2.9803733281064553e-16,-1.8404569744060162e-16
119,0.1,1900,global,-0.0101219162803345,0.0,1.0,0.0,0.0,0.0,0.0003443512982345,0.0025997909103339,0.008461175394135462
120,0.1,2000,global,-8.799157183704964e-17,0.0,1.0,0.0,0.0,0.0,1.1878051615394663e-16,-1.2930433177384622e-16,-2.5251327305508714e-16
121,0.1,2100,global,1.221058027845877e-16,0.0,1.0,0.0,0.0,0.0,4.140931792453694e-17,-1.21262818329405e-17,3.42585843939198e-17
122,0.1,2200,global,-4.516539588627918e-17,0.0,1.0,0.0,0.0,0.0,2.892186513432288e-16,-5.9835500025339846e-18,-1.2998409347429316e-17
123,0.1,2300,global,2.204730843516142e-17,0.0,1.0,0.0,0.0,0.0,-2.438087577007166e-17,1.4342771762119863e-16,-8.097130604932826e-17
124,0.1,2400,global,2.592382309853217e-17,0.0,1.0,0.0,0.0,0.0,1.4134506938700382e-16,-7.436818986642045e-17,8.882913117432215e-17
125,0.1,2500,global,1.2202433089040172e-16,0.0,1.0,0.0,0.0,0.0,7.636252711054971e-17,1.4786974393312166e-16,-2.624189483258104e-16
126,0.1,2600,global,9.138052859313858e-17,0.0,1.0,0.0,0.0,0.0,-2.3311659563104627e-16,-1.2105386929818098e-16,7.090742046246095e-17
127,0.1,2700,global,1.207760887438085e-16,0.0,1.0,0.0,0.0,0.0,1.0214955436862091e-16,-1.4855375589272734e-16,3.306166085436208e-18
128,0.1,2800,global,-2.880870655750196e-18,0.0,1.0,0.0,0.0,0.0,-1.3484483578309436e-16,-4.9641787095844793e-17,3.882401684277247e-18
129,0.1,2900,global,-1.1253750496751651e-16,0.0,1.0,0.0,0.0,0.0,-9.612282561367279e-17,-1.5148463056523134e-16,-2.1013540339866271e-16
130,0.1,3000,global,-1.0176096486592991e-16,0.0,1.0,0.0,0.0,0.0,-6.278358714947248e-17,-7.266327281887801e-17,-4.1162242825361665e-18
131,0.1,3100,global,-2.55721126465191e-16,0.0,1.0,0.0,0.0,0.0,-2.493667111000565e-17,2.3408033471070354e-16,-1.8589900601867712e-16
132,0.1,3200,global,7.870393571556559e-17,0.0,1.0,0.0,0.0,0.0,3.256603210350657e-16,-5.889688091337543e-17,2.4210698593932784e-16
133,0.1,3300,global,-8.2859279898886e-17,0.0,1.0,0.0,0.0,0.0,-1.0498012836874346e-16,-3.0642974261316347e-17,-3.3635062284342554e-16
134,0.1,3400,global,-1.2525784565120476e-16,0.0,1.0,0.0,0.0,0.0,2.1800600270217358e-16,-2.806116978948956e-17,1.4876434172119811e-16
135,0.1,3500,global,4.863960397926684e-17,0.0,1.0,0.0,0.0,0.0,-1.4305592852719018e-16,-2.25327083126778e-16,3.42585843939198e-17
136,0.1,3600,global,8.172910091997426e-17,0.0,1.0,0.0,0.0,0.0,1.9518994680710743e-16,-8.586590272528672e-17,-1.9001937785369355e-16
137,0.1,3700,global,2.0899283371909423e-16,0.0,1.0,0.0,0.0,0.0,1.2386265229128941e-17,1.2785611418635955e-16,1.861369761694163e-16
138,0.1,3800,global,1.6780078979776744e-16,0.0,1.0,0.0,0.0,0.0,7.045432089046889e-17,-7.998057602023682e-17,-1.938858334894767e-16
139,0.1,3900,global,-1.4007874235412982e-17,0.0,1.0,0.0,0.0,0.0,2.9135722526846166e-16,1.5677181615108138e-16,-9.392605515585294e-17
140,0.1,4000,global,1.4235626238864828e-17,0.0,1.0,0.0,0.0,0.0,1.8499933049696782e-16,-1.520678603106832e-16,-3.1059213474217975e-18
141,0.1,4100,global,9.406813568042127e-17,0.0,1.0,0.0,0.0,0.0,-6.041864001889126e-17,1.0075364525130819e-16,-4.0623924772965095e-17
142,0.1,4200,global,1.5580148410426552e-16,0.0,1.0,0.0,0.0,0.0,2.104758712723169e-16,4.3469594132198936e-17,-5.921942078288144e-17
143,0.1,4300,global,2.3021237411470693e-19,0.0,1.0,0.0,0.0,0.0,-3.767403159361392e-17,-6.683399372404967e-17,-2.5853654664153315e-16
144,0.1,4400,global,1.161301269080594e-16,0.0,1.0,0.0,0.0,0.0,9.369332512597239e-17,-6.819728049272252e-17,1.5045161682474837e-16
145,0.1,4500,global,-1.994814722200385e-17,0.0,1.0,0.0,0.0,0.0,-3.9074592628963626e-17,-2.4517785540356883e-16,2.1146079810377618e-16
146,0.1,4600,global,-1.6732999867944768e-16,0.0,1.0,0.0,0.0,0.0,1.856868165434078e-16,3.0548002715912346e-17,1.69707415467211e-16
147,0.1,4700,global,-6.989560631084355e-17,0.0,1.0,0.0,0.0,0.0,-8.106661883722155e-17,1.353818862067678e-18,2.228879808140567e-16
148,0.1,4800,global,8.573738531505494e-17,0.0,1.0,0.0,0.0,0.0,-1.6162209274581396e-16,-1.440341270293976e-16,-1.32660011026347e-16
149,0.1,4900,global,1.4007874235412982e-17,0.0,1.0,0.0,0.0,0.0,-1.8583718823483024e-16,-2.9410031674731056e-17,1.5725327820572235e-16
150,0.1,5000,global,-9.138052859313858e-17,0.0,1.0,0.0,0.0,0.0,-2.594702650452955e-16,1.350827823829958e-17,-6.228362887387794e-17
151,0.1,5100,global,4.7667839384126745e-17,0.0,1.0,0.0,0.0,0.0,-4.521447420663967e-17,1.501325148401185e-16,9.959696872048564e-17
152,0.1,5200,global,4.6553909935639167e-17,0.0,1.0,0.0,0.0,0.0,1.521432872363472e-17,1.4370745664200504e-16,2.0396599986113082e-16
153,0.1,5300,global,1.5804236255796362e-16,0.0,1.0,0.0,0.0,0.0,1.5268014433820203e-16,1.210756208650917e-16,-8.097130604932826e-17
154,0.1,5400,global,5.325551655725151e-17,0.0,1.0,0.0,0.0,0.0,2.3311659563104627e-16,-1.2262287069868018e-16,-2.216011026444342e-16
155,0.1,5500,global,1.9607504955644679e-16,0.0,1.0,0.0,0.0,0.0,-1.0436883095382631e-16,7.939734627478494e-17,-5.1721827008689733e-17
156,0.1,5600,global,1.4587255141629422e-16,0.0,1.0,0.0,0.0,0.0,-1.8360658732323768e-16,-2.34332601952311e-16,5.711900877116775e-17
157,0.1,5700,global,1.1552724249461868e-17,0.0,1.0,0.0,0.0,0.0,2.680924978925395e-17,7.896463360536939e-17,-3.42585843939198e-17
158,0.1,5800,global,1.1919688746734382e-18,0.0,1.0,0.0,0.0,0.0,-9.510277330823824e-17,7.129036769786459e-17,-5.974089646866481e-17
159,0.1,5900,global,1.9385906402200536e-16,0.0,1.0,0.0,0.0,0.0,-2.3591885866822634e-16,1.0861631906150191e-18,8.255555166535812e-17
160,0.1,6000,global,1.8717383146261082e-17,0.0,1.0,0.0,0.0,0.0,-3.9483071536321983e-16,-4.361911341525935e-17,2.0400479320606634e-16
161,0.1,6100,global,3.007740524307622e-17,0.0,1.0,0.0,0.0,0.0,2.336322101658762e-16,-7.369820437749332e-17,4.0726672799321716e-18
162,0.1,6200,global,-1.393357086147834e-16,0.0,1.0,0.0,0.0,0.0,1.2026213385560446e-16,1.440341270293976e-16,3.3635062284342554e-16
163,0.1,6300,global,-4.576794455094283e-18,0.0,1.0,0.0,0.0,0.0,-1.0214955436862091e-16,-7.308350435446157e-18,3.39414830934422e-16
164,0.1,6400,global,5.1333407574652924e-17,0.0,1.0,0.0,0.0,0.0,-9.46694163794852e-17,1.3066629034259318e-16,-2.624189483258104e-16
165,0.1,6500,global,-3.2559095724380656e-17,0.0,1.0,0.0,0.0,0.0,-9.217742204545144e-17,-1.9772922693325558e-16,1.7598099497617504e-16
166,0.1,6600,global,1.5787387007959662e-16,0.0,1.0,0.0,0.0,0.0,3.077474650690129e-16,-1.1623322107449923e-16,1.3143648561764245e-17
167,0.1,6700,global,-5.649687239078529e-17,0.0,1.0,0.0,0.0,0.0,2.300588938711211e-16,-6.033505055642135e-17,-3.897630752737234e-17
168,0.1,6800,global,9.023245029074772e-17,0.0,1.0,0.0,0.0,0.0,9.510277330823824e-17,1.403014965714275e-16,-1.7492803339807478e-16
169,0.1,6900,global,-1.374771555514973e-16,0.0,1.0,0.0,0.0,0.0,1.2019153800104173e-17,-1.5677181615108138e-16,1.2031663414918942e-17
170,0.1,7000,global,-0.0022707839734673,0.0,1.0,0.0,0.0,0.0,0.0011917765712833,-0.0068413089465709,-0.003798177335975495
171,0.1,7100,global,9.068537543243572e-17,0.0,1.0,0.0,0.0,0.0,-2.1033438512131952e-16,-6.938722343325075e-17,7.090742046246095e-17
172,0.1,7200,global,1.221058027845877e-16,0.0,1.0,0.0,0.0,0.0,,-1.0115858027254146e-16,-2.0421630578364882e-16
173,0.1,7300,global,-9.714929192290632e-17,0.0,1.0,0.0,0.0,0.0,-1.611985051973436e-16,1.9821321198314564e-16,-2.2135903728720932e-16
174,0.1,7400,global,-1.1919688746734382e-18,0.0,1.0,0.0,0.0,0.0,-2.511901463444837e-16,8.780394654174302e-17,-2.0275756744549283e-16
