,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
69,23.2857,0.971402847114558,0.019451689868718886,0.3960441978021978,0.0358997098126648,232.857,-0.0034264896838098
70,26.9389,0.9826968071244246,0.0098790956579958,0.3964053286713287,0.0360353668489352,269.389,-0.0029618237135498
71,31.1653,0.9641273167884188,0.028520886840919753,0.396783058941059,0.0363985588078255,311.653,-0.0025601652853343
72,36.0547,0.9722756845402044,0.019406266808419823,0.3972151918081918,0.0356662528141189,360.547,-0.0022129806594674
73,41.7112,0.9928744759012454,4.168438058989532e-05,0.3974847542457542,0.0359860602055287,417.112,-0.0019128766289845
74,48.2552,0.9695589821084143,0.019845010802787246,0.3976797732267731,0.0358046210333123,482.552,-0.0016534673770257
75,55.8259,0.9924448413499992,0.00013849478341779441,0.3978464775224776,0.0360941045867219,558.2589999999999,-0.0014292364907833
76,64.5842,0.9910900305066839,0.00023645893985403674,0.3979386493506493,0.0359193649587176,645.8419999999999,-0.0012354170865161
77,74.7167,0.993951520977454,8.499229774679312e-06,0.3980986813186813,0.0355237035951062,747.167,-0.0010678795002945
78,86.4388,0.9825034338350982,0.009877349762031189,0.3983177582417583,0.0365611241226306,864.3879999999999,-0.0009230627713744
79,100.0,0.979378716803212,0.011182055588102027,0.3984195784215785,0.0354568630410548,1000.0,-0.0007978844278221
