,stdWeights,<A>,var(A),<BH>,var(BH),sigma_star,balance
32,0.106,0.99984995004995,2.4999975049925104e-05,1.1710463870610238e-06,1.3576361442421904e-10,1.0599999999999998,0.654521727371446
33,0.1226,0.9990999000999,4.999995009985021e-05,2.3420927741220475e-06,2.6878452956714067e-10,1.226,0.5853057693327919
34,0.1419,0.9966,0.0,0.0,0.0,1.4189999999999998,0.519016515224879
35,0.1641,0.9906999000999002,4.999995009985021e-05,2.3420927741220475e-06,2.6878452956714067e-10,1.6409999999999998,0.457730404973411
36,0.1899,0.9811,0.0001499499501497,9.831925428382619e-06,3.1017956859870547e-09,1.899,0.4015237067936949
37,0.2197,0.96060999000999,0.0005955449146258,0.018051609025262975,0.01593310719978777,2.197,0.3510102786764392
38,0.2541,0.9320167832167832,0.0009930073922081,0.01840262754051921,0.016501542080646515,2.541,0.3060836318705021
39,0.294,0.900926073926074,0.0017279900918262,0.05511205685778598,0.04755766539247117,2.9399999999999995,0.2662459287936297
40,0.3401,0.8641027972027971,0.0050708707875541,0.15489748698525804,0.1170874557154475,3.401,0.2312659125814202
41,0.3935,0.8235255744255745,0.0065810754679885,0.17121581809811443,0.12500514930683387,3.935,0.2006045683646631
42,0.4552,0.7843157842157845,0.0106582733949367,0.24058889010602566,0.16465008365715428,4.552,0.1738824652804191
43,0.5266,0.7466906093906093,0.0159083641633092,0.32908593581793005,0.20137642025479088,5.265999999999999,0.1506105134934452
44,0.6093,0.7091599400599401,0.0250360406825941,0.37653830143604816,0.21286807410716702,6.092999999999999,0.130365498146058
45,0.7049,0.6778714285714287,0.0290165145543766,0.49699193601879604,0.21965486371840437,7.049,0.1128126439073111
46,0.8154,0.6540922077922079,0.0460671318691298,0.6155943983435703,0.21328530149590244,8.154,0.0976071848038596
47,0.9434,0.6294394605394605,0.0499303278140441,0.6387279037732113,0.21007994096194943,9.434,0.0844173114063452
48,1.0914,0.6089809190809191,0.0550211327134404,0.7473391436817421,0.15872432226900307,10.913999999999998,0.0730043579327941
49,1.2626,0.5925454545454545,0.0548137059743453,0.7240808485799249,0.17550226993416776,12.626,0.0631277657203553
50,1.4607,0.5805698301698301,0.0642669584162091,0.8252747478801078,0.12087803637695524,14.607,0.0545807997750049
51,1.6898,0.5693536463536464,0.0653405936720621,0.7708316791913221,0.1557524254452008,16.898,0.0471901463203058
52,1.955,0.5615062937062938,0.0708558244951851,0.8267118541187513,0.12083909189642238,19.55,0.0407947194157756
53,2.2617,0.5524224775224775,0.0730133333200266,0.8463285134640938,0.11719878244307111,22.617,0.0352665990035331
54,2.6165,0.5445885114885115,0.0713097126649574,0.7974553801321163,0.14810572723082538,26.165,0.030486923733238
55,3.027,0.5380387612387613,0.073558016009964,0.8266664318675546,0.1300840127866026,30.27,0.0263541279251804
56,3.5019,0.5327747252747252,0.073529889091927,0.8165057883760325,0.13719591000455023,35.019,0.0227812369315893
57,4.0513,0.5284727272727272,0.0726237878006109,0.7964013924165576,0.14626833304413395,40.513,0.0196925319467447
58,4.6869,0.5255751248751249,0.078139733193879,0.8506289444688606,0.1066070845309972,46.86899999999999,0.0170224248099696
59,5.4222,0.5199364635364635,0.0831006981030957,0.8380107501719352,0.11705572274512711,54.222,0.0147143102790082
60,6.2729,0.5170592407592408,0.0798209961866305,0.8526875677231908,0.10940854524773445,62.729,0.0127190098219283
61,7.257,0.5149843156843157,0.0822145664525285,0.8055371510863846,0.14289152243919256,72.57,0.0109943407848368
62,8.3956,0.51353996003996,0.0841011779429362,0.8335487540856186,0.12183449794295682,83.95599999999999,0.0095033790910153
63,9.7127,0.5118039960039961,0.0815469050430089,0.8325657754517067,0.11955465586029435,97.127,0.0082147133609192
64,11.2365,0.5111373626373625,0.0806933172721384,0.8309244512619012,0.12257648933561921,112.365,0.0071007344684167
65,12.9994,0.5085572427572428,0.0834505714066153,0.8342558620816227,0.12330855240868466,129.994,0.0061377962941543
66,15.0389,0.5074532467532468,0.0828092856194754,0.8742532778508421,0.09516938085681882,150.38899999999998,0.0053054324526497
67,17.3983,0.5063610389610389,0.0822714909466158,0.8291957928972954,0.12203045396102186,173.98299999999998,0.0045859662592508
68,20.1279,0.5064143856143857,0.0823721185907,0.8039105995811333,0.14123197922190447,201.279,0.0039640562523272
69,23.2857,0.5054404595404595,0.080577272477772,0.8373924302962127,0.1221099227565579,232.857,0.0034264896838097
70,26.9389,0.5038159840159839,0.0813823355465713,0.8211532718689943,0.13446310115042828,269.389,0.0029618237135498
71,31.1653,0.5036620379620379,0.0836858140860139,0.8857334137659788,0.0870125112366897,311.653,0.0025601652853341
72,36.0547,0.5027173826173825,0.0844464334865933,0.85537486164576,0.11002382514785145,360.547,0.0022129806594674
73,41.7112,0.5030499500499501,0.0837990475059406,0.8608603460385489,0.1017435898260054,417.112,0.0019128766289846
74,48.2552,0.5028326673326674,0.0832692278750221,0.817858888857122,0.13413297647583058,482.552,0.0016534673770256
75,55.8259,0.5028100899100899,0.0842134971921186,0.8240477939763003,0.1293376483007542,558.2589999999999,0.0014292364907834
76,64.5842,0.5023662337662338,0.0822323482711095,0.853842516859852,0.11107959620353167,645.8419999999999,0.0012354170865162
77,74.7167,0.5015536463536464,0.0838591091226456,0.8822224661066452,0.08717703855733978,747.167,0.0010678795002944
78,86.4388,0.5009329670329671,0.0829286421869838,0.8163572651421753,0.1371426142006743,864.3879999999999,0.0009230627713744
79,100.0,0.5010385614385614,0.0854895450204141,0.8159288114863342,0.13633001001487025,1000.0,0.0007978844278221
