,stdWeights,<A>,var(A),<BH>,var(BH)
33,0.1226,0.8973629970029968,8.353883878359404e-06,0.008878674987972925,0.007785592395730955
34,0.1419,0.861998005994006,2.9655315713257776e-05,0.01837461246459947,0.01649599807960693
35,0.1641,0.8223133986013987,4.096647408535722e-05,0.018142834442578235,0.016031385807112847
36,0.1899,0.7793986973026975,8.883885744625003e-05,0.02497877212522146,0.020544355256220795
37,0.2197,0.737251972027972,0.0001485647140072,0.08136065820082944,0.06699245832535833
38,0.2541,0.6968235684315683,0.0002661223132511,0.10086746123097261,0.0821145105625155
39,0.294,0.6581614305694307,0.0006910448033484,0.16722190556533714,0.1272719547546908
40,0.3401,0.6239733746253746,0.0013974881142833,0.2214662071769849,0.15546023760339023
41,0.3935,0.5948040159840159,0.0012999713493299,0.23921978988520254,0.162848796962694
42,0.4552,0.5673517762237763,0.0015616749444361,0.2693137351070408,0.17787788275281727
43,0.5266,0.5449978821178821,0.0038007579473473,0.44667774221115136,0.2165964226750958
44,0.6093,0.5253783056943057,0.0058717386589434,0.49859997080156937,0.22141305280791532
45,0.7049,0.5083081838161838,0.0072878483913688,0.5794973803244449,0.2077134709587702
46,0.8154,0.4925017542457541,0.010245279483753,0.6097612601364912,0.2099363015169372
47,0.9434,0.4788921798201797,0.010992543320815,0.599743915626326,0.2106843901183748
48,1.0914,0.4675350049950049,0.0118434771701824,0.6769234190099468,0.18863972230835047
49,1.2626,0.4578587852147853,0.014229341463731,0.6773314785724429,0.18737133831387726
50,1.4607,0.4496634605394605,0.0159911707952387,0.6726054725717914,0.1916116203324915
51,1.6898,0.4419948611388611,0.0169704984326362,0.6145712730334284,0.21298450697446974
52,1.955,0.4359576463536463,0.0197660138143574,0.7380921308730541,0.16436995440620827
53,2.2617,0.4311120039960041,0.0217582195546711,0.9024896502582405,0.07150690363931668
54,2.6165,0.4271862937062936,0.0240789417735112,0.8941890521221133,0.07170958700801618
55,3.027,0.4230258061938061,0.024019133929008,0.900036549241655,0.07125561273355796
56,3.5019,0.420400035964036,0.026087450052445,0.8566955894099298,0.10187722666571991
57,4.0513,0.4173752847152848,0.0291379034871222,0.8442179964088674,0.11625621583672348
58,4.6869,0.41543006993007,0.0292186996859284,0.7190513537355601,0.1815977838340421
59,5.4222,0.4134500459540459,0.0278280377444733,0.7767755226106523,0.1510766351819724
60,6.2729,0.4108463816183815,0.0305763506822847,0.9177584418996628,0.05480010865833114
61,7.257,0.4095827892107892,0.0305010512284917,0.908952534878142,0.06324617749209144
62,8.3956,0.4083707612387611,0.0295950135458946,0.9181190045673518,0.054967718540528294
63,9.7127,0.4073893706293706,0.0304749502405686,0.7563701214125289,0.16247393929321657
64,11.2365,0.4067027732267733,0.0300183437262038,0.7985944176410129,0.14007426661378136
65,12.9994,0.4057804235764234,0.0306522223191394,0.9266361325728402,0.04638537277638348
66,15.0389,0.4049504095904095,0.030714678560201,0.9166994526002482,0.05545598212834373
67,17.3983,0.4044856183816183,0.0315211188332147,0.8203728787944885,0.1281679688035659
68,20.1279,0.4036811348651349,0.0338968941707643,0.8423844357651962,0.11575009313924108
69,23.2857,0.4030677242757243,0.0335141767243745,0.9028687069845073,0.07123681535087022
70,26.9389,0.4027281598401599,0.0347458751598052,0.9216301828126867,0.054646150113662764
71,31.1653,0.4019387412587412,0.0351549255779185,0.8133110857261018,0.13552204040835295
72,36.0547,0.4016965874125873,0.0345500165129575,0.8999904351647967,0.07130496522465851
73,41.7112,0.4011986853146853,0.0353228572107213,0.8684718260690438,0.09416367062072037
74,48.2552,0.4009534905094905,0.0353274497330841,0.9298882730167616,0.04667305890489306
75,55.8259,0.4008482037962038,0.0355558484272969,0.8857899212995528,0.07987879579846456
76,64.5842,0.4006901058941058,0.0363731941584888,0.9301351193220442,0.046670222463456125
77,74.7167,0.4006177022977024,0.0360056158426987,0.9090658057544659,0.06309369173388264
78,86.4388,0.400543040959041,0.034950895090923,0.9304524421476761,0.04623281758219273
79,100.0,0.4004145894105894,0.0344692082582752,0.875308363032215,0.08662670563654885
