,stdWeights,<A>,<var(A)>,var(<A>),<BH>,var(BH)
38,0.2541,0.8342975124875123,0.0004919761756724,0.0001005602593948,0.05423229553965574,0.04595924834242384
39,0.294,0.7939728371628373,0.001188509692106,0.000151417595645,0.11473245752497632,0.08895543341744445
40,0.3401,0.753715074925075,0.0025050591765876,0.000138783738545,0.2540687470032434,0.16638963287280917
41,0.3935,0.716076893106893,0.0042882950815418,0.0001848239242367,0.3029085691514416,0.18709032714014914
42,0.4552,0.6851406493506492,0.0077373611403581,0.0001982496997766,0.3995190767227047,0.21219649002439878
43,0.5266,0.6562798901098903,0.0110440787584044,0.0001755903000506,0.5217549936554053,0.22353324600135488
44,0.6093,0.6339171728271727,0.0197926772727771,0.0002105107820669,0.67131974222874,0.19334855946042748
45,0.7049,0.613058981018981,0.0272605019555868,0.0001798105047982,0.7631547540736158,0.163273689573541
46,0.8154,0.5956273726273726,0.0291695973357312,0.0001599228002566,0.8184726790498621,0.12862430740020878
47,0.9434,0.5807840059940059,0.0346479424870833,0.0001537484310753,0.8740239003261191,0.09499091995609882
48,1.0914,0.5681385114885115,0.0428307243605545,0.000151856174123,0.9302977340306119,0.05541983106408096
49,1.2626,0.55713001998002,0.0466058615310763,0.0001400437767302,0.9351122190793562,0.04694991692608908
50,1.4607,0.5468553846153845,0.0528508119652575,0.0001310617009987,0.9714880394521116,0.019494837142176286
51,1.6898,0.5382146753246753,0.0562002879837445,0.0001302649452025,0.9716112211584418,0.01950369919770096
52,1.955,0.5316336363636364,0.0577328182706404,0.0001307094329417,0.9729786248487478,0.019358835640032167
53,2.2617,0.5256946753246754,0.0615624039896167,0.000131622404821,0.9941644790368585,3.25849834102968e-06
54,2.6165,0.520133986013986,0.0626875311302084,0.0001571686424919,0.9940947631380674,3.1772009687277148e-06
55,3.027,0.5159000899100898,0.0660026470233063,0.0001521060023192,0.9943769982322955,2.488744454181671e-06
56,3.5019,0.5120952947052948,0.0688874177570681,0.0001549368578054,0.9940256299489358,3.6809564565889543e-06
57,4.0513,0.5083134165834166,0.0687638434093379,0.0001402365779845,0.9940686176271183,9.904152293835388e-06
58,4.6869,0.5051503996003995,0.0711334069526876,0.0001374653815989,0.9639317822730784,0.028724849945997333
59,5.4222,0.5030433266733266,0.0704917354373897,0.0001379502335158,0.9780106568213917,0.011959695203355089
60,6.2729,0.500891028971029,0.0718013638908544,0.0001356086994859,0.9940559489255618,1.002710321917538e-05
61,7.257,0.4991988611388612,0.0725397537926609,0.000142671989166,0.9938084094861458,1.587539053607511e-05
62,8.3956,0.4977361338661339,0.0733048626697977,0.0001355210464591,0.9941309078763189,1.4088052306286868e-05
63,9.7127,0.496510949050949,0.0728757538764931,0.0001345082521159,0.9813716656322042,0.010240992289578386
64,11.2365,0.4953122977022977,0.0744088115680523,0.000128712589646,0.9932510909325226,2.713752933650568e-05
65,12.9994,0.4944517282717283,0.0736506702089119,0.0001328152813496,0.984515985056698,0.009765654548012558
66,15.0389,0.4936076423576424,0.0735190141926006,0.000125955163166,0.9840059520225054,0.009781764836128191
67,17.3983,0.4929074625374625,0.0734475359206228,0.000127530564234,0.9941411591075184,2.5852603975725382e-06
68,20.1279,0.4923138361638362,0.0739429201567663,0.0001278693459462,0.9942990530968757,3.3899414586962905e-06
69,23.2857,0.4917317782217782,0.0741028390191227,0.0001249341990775,0.9819296185909588,0.010349318603573476
70,26.9389,0.4913953746253746,0.073843712551185,0.0001254428534673,0.9918316735820126,0.0006119937618070358
71,31.1653,0.4907583016983017,0.0746113370745139,0.0001200235715297,0.9843300541023394,0.009762738843454162
