,K,delay,N,<C>
199,2.0,-2.0,10000.0,0.987707836994662
200,3.0,-18.0,10000.0,0.5513023360220204
201,3.0,-18.0,10000.0,0.4902670899699689
202,3.0,-18.0,10000.0,0.4844125117840064
203,3.0,-18.0,10000.0,0.4887017236745986
204,3.0,-18.0,10000.0,0.5085282453524348
205,3.0,-18.0,10000.0,0.5572035204852053
206,3.0,-18.0,10000.0,0.4428608803549253
207,3.0,-18.0,10000.0,0.5472129022240823
208,3.0,-18.0,10000.0,0.4909118157699094
209,3.0,-18.0,10000.0,0.5562058467820903
210,3.0,-18.0,10000.0,0.4424273919294503
211,3.0,-18.0,10000.0,0.2739647477363463
212,3.0,-18.0,10000.0,0.5224571620361035
213,3.0,-18.0,10000.0,0.5447392969630601
214,3.0,-18.0,10000.0,0.4024917597713701
215,3.0,-18.0,10000.0,0.5087009711793535
216,3.0,-18.0,10000.0,0.4812476775515001
217,3.0,-18.0,10000.0,0.5956189097803897
218,3.0,-18.0,10000.0,0.4592001037597865
219,3.0,-18.0,10000.0,0.4609814465937298
220,3.0,-14.0,10000.0,0.7412333052063033
221,3.0,-14.0,10000.0,0.6113280974302862
222,3.0,-14.0,10000.0,0.6946804323897136
223,3.0,-14.0,10000.0,0.6533673736119627
224,3.0,-14.0,10000.0,0.6978707944498331
225,3.0,-14.0,10000.0,0.5521041599526346
226,3.0,-14.0,10000.0,0.7616266542133168
227,3.0,-14.0,10000.0,0.7691106821808378
228,3.0,-14.0,10000.0,0.6441163912185315
229,3.0,-14.0,10000.0,0.7573859107043152
230,3.0,-14.0,10000.0,0.6606592167671462
231,3.0,-14.0,10000.0,0.5799339460564947
232,3.0,-14.0,10000.0,0.7127622196940837
233,3.0,-14.0,10000.0,0.7520167260893227
234,3.0,-14.0,10000.0,0.6926977669285188
235,3.0,-14.0,10000.0,0.6335233572777813
236,3.0,-14.0,10000.0,0.7210073591591817
237,3.0,-14.0,10000.0,0.7748026338665308
238,3.0,-14.0,10000.0,0.8122693915822328
239,3.0,-14.0,10000.0,0.640822198996496
240,3.0,-10.0,10000.0,0.8890413990124069
241,3.0,-10.0,10000.0,0.8606846544793367
242,3.0,-10.0,10000.0,0.8957968107758761
243,3.0,-10.0,10000.0,0.8614179214007416
244,3.0,-10.0,10000.0,0.8940834704401694
245,3.0,-10.0,10000.0,0.8467796851694503
246,3.0,-10.0,10000.0,0.8364566266051705
247,3.0,-10.0,10000.0,0.8828640769527057
248,3.0,-10.0,10000.0,0.8868837822749913
249,3.0,-10.0,10000.0,0.8877927048009671
250,3.0,-10.0,10000.0,0.8930340167622264
251,3.0,-10.0,10000.0,0.7638687192839997
252,3.0,-10.0,10000.0,0.8713619565046098
253,3.0,-10.0,10000.0,0.8893292247897927
254,3.0,-10.0,10000.0,0.8528194560313654
255,3.0,-10.0,10000.0,0.8405476305770121
256,3.0,-10.0,10000.0,0.9124139045535824
257,3.0,-10.0,10000.0,0.8743435435892188
258,3.0,-10.0,10000.0,0.8985929703226011
