,K,delay,N,<C>
178,2.0,-6.0,10000.0,0.7105434979832073
179,2.0,-6.0,10000.0,0.8122477322478712
180,2.0,-2.0,10000.0,0.961718954058906
181,2.0,-2.0,10000.0,0.9516938448889
182,2.0,-2.0,10000.0,0.9749732376664578
183,2.0,-2.0,10000.0,0.9762920413478532
184,2.0,-2.0,10000.0,0.9475343655871
185,2.0,-2.0,10000.0,0.9526284856036986
186,2.0,-2.0,10000.0,0.9476484174194846
187,2.0,-2.0,10000.0,0.971402286549281
188,2.0,-2.0,10000.0,0.956896233559976
189,2.0,-2.0,10000.0,0.9577788563451428
190,2.0,-2.0,10000.0,0.9520543702181564
191,2.0,-2.0,10000.0,0.9445153795243236
192,2.0,-2.0,10000.0,0.9118606880991338
193,2.0,-2.0,10000.0,0.9637762692330656
194,2.0,-2.0,10000.0,0.959901631686358
195,2.0,-2.0,10000.0,0.9685030884359428
196,2.0,-2.0,10000.0,0.9631406515936812
197,2.0,-2.0,10000.0,0.9740441971449596
198,2.0,-2.0,10000.0,0.9540578106298429
199,2.0,-2.0,10000.0,0.9690171185674312
200,3.0,-18.0,10000.0,0.4433932220908603
201,3.0,-18.0,10000.0,0.466659157722115
202,3.0,-18.0,10000.0,0.2776572454635621
203,3.0,-18.0,10000.0,0.4162484665815308
204,3.0,-18.0,10000.0,0.3344639824326677
205,3.0,-18.0,10000.0,0.3674635377749812
206,3.0,-18.0,10000.0,0.4955897680809861
207,3.0,-18.0,10000.0,0.5946491727383669
208,3.0,-18.0,10000.0,0.3124992041447889
209,3.0,-18.0,10000.0,0.5586202286388886
210,3.0,-18.0,10000.0,0.4808304097357367
211,3.0,-18.0,10000.0,0.3460357532724268
212,3.0,-18.0,10000.0,0.3069412977244246
213,3.0,-18.0,10000.0,0.36927822702984
214,3.0,-18.0,10000.0,0.5074903929111463
215,3.0,-18.0,10000.0,0.5407962792418303
216,3.0,-18.0,10000.0,0.4739132353978875
217,3.0,-18.0,10000.0,0.3584134846019581
218,3.0,-18.0,10000.0,0.2951086516340215
219,3.0,-18.0,10000.0,0.2102196292910932
220,3.0,-14.0,10000.0,0.532845935020338
221,3.0,-14.0,10000.0,0.673438771620826
222,3.0,-14.0,10000.0,0.6310554282930149
223,3.0,-14.0,10000.0,0.7187609704024875
224,3.0,-14.0,10000.0,0.6124729493702062
225,3.0,-14.0,10000.0,0.632286522256875
226,3.0,-14.0,10000.0,0.6757533029479028
227,3.0,-14.0,10000.0,0.6840301159898925
228,3.0,-14.0,10000.0,0.628542592927287
229,3.0,-14.0,10000.0,0.7314818637220732
230,3.0,-14.0,10000.0,0.6056738977702322
231,3.0,-14.0,10000.0,0.4971704928603476
232,3.0,-14.0,10000.0,0.5143415638881164
233,3.0,-14.0,10000.0,0.6594823952960995
234,3.0,-14.0,10000.0,0.6302316037008913
235,3.0,-14.0,10000.0,0.7303808465390625
236,3.0,-14.0,10000.0,0.5624148968220977
237,3.0,-14.0,10000.0,0.6039724553839095
238,3.0,-14.0,10000.0,0.4996058103582731
239,3.0,-14.0,10000.0,0.6123750320065918
240,3.0,-10.0,10000.0,0.8038202000914101
241,3.0,-10.0,10000.0,0.8734236146084873
242,3.0,-10.0,10000.0,0.8964599261558327
243,3.0,-10.0,10000.0,0.8805694328976742
244,3.0,-10.0,10000.0,0.7862590459564931
245,3.0,-10.0,10000.0,0.9031068124006324
246,3.0,-10.0,10000.0,0.8313857235933156
247,3.0,-10.0,10000.0,0.8680377862344486
248,3.0,-10.0,10000.0,0.880367042233009
249,3.0,-10.0,10000.0,0.86067222105052
250,3.0,-10.0,10000.0,0.7623124519958406
251,3.0,-10.0,10000.0,0.7941567631875041
252,3.0,-10.0,10000.0,0.8130719796100043
253,3.0,-10.0,10000.0,0.8678314000241378
254,3.0,-10.0,10000.0,0.8251879961712671
255,3.0,-10.0,10000.0,0.861572532736005
256,3.0,-10.0,10000.0,0.7889874468861996
257,3.0,-10.0,10000.0,0.8464868702044714
258,3.0,-10.0,10000.0,0.8069977972355196
259,3.0,-10.0,10000.0,0.8430893257547124
260,3.0,-6.0,10000.0,0.9412710984923006
261,3.0,-6.0,10000.0,0.9259060680607571
262,3.0,-6.0,10000.0,0.9617615431242988
263,3.0,-6.0,10000.0,0.9573789532138424
264,3.0,-6.0,10000.0,0.958951352727538
265,3.0,-6.0,10000.0,0.9535403178155532
266,3.0,-6.0,10000.0,0.9438423469711988
267,3.0,-6.0,10000.0,0.9453060093919532
268,3.0,-6.0,10000.0,0.9700182308027824
269,3.0,-6.0,10000.0,0.9553417003539924
270,3.0,-6.0,10000.0,0.9536529843580716
271,3.0,-6.0,10000.0,0.955725526177108
272,3.0,-6.0,10000.0,0.9560629015532278
273,3.0,-6.0,10000.0,0.9676080574052272
274,3.0,-6.0,10000.0,0.96537393692321
275,3.0,-6.0,10000.0,0.9551104385576265
276,3.0,-6.0,10000.0,0.9558030755733136
277,3.0,-6.0,10000.0,0.9697700144212738
278,3.0,-6.0,10000.0,0.9456545515892132
279,3.0,-6.0,10000.0,0.9484847055987672
280,3.0,-2.0,10000.0,0.9923479528354964
281,3.0,-2.0,10000.0,0.9928688371788748
282,3.0,-2.0,10000.0,0.9934942833105436
283,3.0,-2.0,10000.0,0.9932802703954268
284,3.0,-2.0,10000.0,0.9917669358396772
285,3.0,-2.0,10000.0,0.9923904530713754
286,3.0,-2.0,10000.0,0.99150089593052
287,3.0,-2.0,10000.0,0.991476684785406
288,3.0,-2.0,10000.0,0.9919562823959662
289,3.0,-2.0,10000.0,0.990942458702427
290,3.0,-2.0,10000.0,0.990510467373196
291,3.0,-2.0,10000.0,0.9927996312333848
292,3.0,-2.0,10000.0,0.9902255754845176
293,3.0,-2.0,10000.0,0.992196390249104
294,3.0,-2.0,10000.0,0.9935262593501728
295,3.0,-2.0,10000.0,0.991123631326962
296,3.0,-2.0,10000.0,0.9925011433930766
297,3.0,-2.0,10000.0,0.9916894045490732
298,3.0,-2.0,10000.0,0.9951271821721118
299,3.0,-2.0,10000.0,0.993208762317694
300,4.0,-10.0,10000.0,0.8803321642787317
301,4.0,-10.0,10000.0,0.8266701383660552
302,4.0,-10.0,10000.0,0.8774058420296695
303,4.0,-10.0,10000.0,0.8155571921975427
304,4.0,-10.0,10000.0,0.8417697356865814
305,4.0,-10.0,10000.0,0.8252470889421893
306,4.0,-10.0,10000.0,0.8688587098811835
307,4.0,-10.0,10000.0,0.8179735773877741
308,4.0,-10.0,10000.0,0.829674401211521
309,4.0,-10.0,10000.0,0.8494662315380037
310,4.0,-10.0,10000.0,0.8307674399462941
311,4.0,-10.0,10000.0,0.8439616333482036
312,4.0,-10.0,10000.0,0.8047823397023723
313,4.0,-10.0,10000.0,0.8364544408176648
314,4.0,-10.0,10000.0,0.777956920725717
315,4.0,-10.0,10000.0,0.8711991179283226
316,4.0,-10.0,10000.0,0.8761930795362378
317,4.0,-10.0,10000.0,0.8059474784245559
318,4.0,-10.0,10000.0,0.855640283316586
319,4.0,-10.0,10000.0,0.7792855440796206
320,4.0,-6.0,10000.0,0.9257989760740684
321,4.0,-6.0,10000.0,0.9077722055762236
322,4.0,-6.0,10000.0,0.933473342969713
323,4.0,-6.0,10000.0,0.9092495704746424
324,4.0,-6.0,10000.0,0.917486417868535
325,4.0,-6.0,10000.0,0.9321608055352336
326,4.0,-6.0,10000.0,0.9386570943962368
327,4.0,-6.0,10000.0,0.921031772773774
328,4.0,-6.0,10000.0,0.9289501007898068
329,4.0,-6.0,10000.0,0.9109148096377382
330,4.0,-6.0,10000.0,0.9201976585999672
331,4.0,-6.0,10000.0,0.9350103574936656
332,4.0,-6.0,10000.0,0.9017754339275316
333,4.0,-6.0,10000.0,0.9362249865189548
334,4.0,-6.0,10000.0,0.9104494293232136
335,4.0,-6.0,10000.0,0.9337792050677428
336,4.0,-6.0,10000.0,0.9297316763489104
337,4.0,-6.0,10000.0,0.91211674169288
338,4.0,-6.0,10000.0,0.9431621046663884
339,4.0,-6.0,10000.0,0.8585583026417011
340,4.0,-2.0,10000.0,0.9665538049587452
341,4.0,-2.0,10000.0,0.9668475883905178
342,4.0,-2.0,10000.0,0.9835752049562254
343,4.0,-2.0,10000.0,0.979187706151926
344,4.0,-2.0,10000.0,0.9835173637440076
345,4.0,-2.0,10000.0,0.9746669840118578
346,4.0,-2.0,10000.0,0.9724703261012146
347,4.0,-2.0,10000.0,0.9691962614030252
348,4.0,-2.0,10000.0,0.9788200346800108
349,4.0,-2.0,10000.0,0.970318322144134
350,4.0,-2.0,10000.0,0.9737614391555044
351,4.0,-2.0,10000.0,0.9870230060920488
352,4.0,-2.0,10000.0,0.9685662440437084
353,4.0,-2.0,10000.0,0.978836975572262
354,4.0,-2.0,10000.0,0.9704462485412676
355,4.0,-2.0,10000.0,0.9881489959171004
356,4.0,-2.0,10000.0,0.9768968610811188
357,4.0,-2.0,10000.0,0.9681909176441884
358,4.0,-2.0,10000.0,0.978737449255435
359,4.0,-2.0,10000.0,0.9589503367495232
360,4.0,-18.0,10000.0,0.6636510678941459
361,4.0,-18.0,10000.0,0.5531007313577264
362,4.0,-18.0,10000.0,0.5805963093435722
363,4.0,-18.0,10000.0,0.6112521899279043
364,4.0,-18.0,10000.0,0.6326248390082045
365,4.0,-18.0,10000.0,0.49658835075724
366,4.0,-18.0,10000.0,0.6032939296276411
367,4.0,-18.0,10000.0,0.5909049110257472
368,4.0,-18.0,10000.0,0.6302430295724153
369,4.0,-18.0,10000.0,0.5793009539863145
370,4.0,-18.0,10000.0,0.6028619424494099
371,4.0,-18.0,10000.0,0.5872167233985076
372,4.0,-18.0,10000.0,0.6121226868107459
373,4.0,-18.0,10000.0,0.5810344852246387
374,4.0,-18.0,10000.0,0.538377218991948
375,4.0,-18.0,10000.0,0.707355367577837
376,4.0,-18.0,10000.0,0.6170234243343466
377,4.0,-18.0,10000.0,0.5733741063812268
378,4.0,-18.0,10000.0,0.6533972660140456
379,4.0,-18.0,10000.0,0.5923835105581338
380,4.0,-14.0,10000.0,0.8083724960821961
381,4.0,-14.0,10000.0,0.705042606202477
382,4.0,-14.0,10000.0,0.8073346908406396
383,4.0,-14.0,10000.0,0.6927653724389234
384,4.0,-14.0,10000.0,0.7315136340584534
385,4.0,-14.0,10000.0,0.6398014529425854
386,4.0,-14.0,10000.0,0.766943939478621
387,4.0,-14.0,10000.0,0.7271900351015296
388,4.0,-14.0,10000.0,0.7447739527893973
389,4.0,-14.0,10000.0,0.7131178415858545
390,4.0,-14.0,10000.0,0.6975713730428514
391,4.0,-14.0,10000.0,0.7307751749637266
392,4.0,-14.0,10000.0,0.673989262519034
393,4.0,-14.0,10000.0,0.707667342077791
394,4.0,-14.0,10000.0,0.6185822387862432
395,4.0,-14.0,10000.0,0.7047929639533337
396,4.0,-14.0,10000.0,0.7226679851337334
397,4.0,-14.0,10000.0,0.6871602197371882
398,4.0,-14.0,10000.0,0.7635940746950339
399,4.0,-14.0,10000.0,0.681002116186705
400,5.0,-14.0,10000.0,0.5953874881815816
401,5.0,-14.0,10000.0,0.6604038056309536
402,5.0,-14.0,10000.0,0.6089563721683094
403,5.0,-14.0,10000.0,0.6721297938569212
404,5.0,-14.0,10000.0,0.6364890534615075
405,5.0,-14.0,10000.0,0.6389925161961849
406,5.0,-14.0,10000.0,0.605425335927819
407,5.0,-14.0,10000.0,0.5991971060931841
408,5.0,-14.0,10000.0,0.6655510806787751
409,5.0,-14.0,10000.0,0.596210136807105
410,5.0,-14.0,10000.0,0.6261710626418009
411,5.0,-14.0,10000.0,0.6093067819252941
412,5.0,-14.0,10000.0,0.6151209745706215
413,5.0,-14.0,10000.0,0.55875374164925
414,5.0,-14.0,10000.0,0.6349537754493486
415,5.0,-14.0,10000.0,0.553191450608171
416,5.0,-14.0,10000.0,0.5749627016809481
417,5.0,-14.0,10000.0,0.6438795725996853
418,5.0,-14.0,10000.0,0.6182699669541705
419,5.0,-14.0,10000.0,0.6305514911687325
420,5.0,-10.0,10000.0,0.7512922034216921
421,5.0,-10.0,10000.0,0.8089626374727164
422,5.0,-10.0,10000.0,0.778697292287311
423,5.0,-10.0,10000.0,0.805227909255307
424,5.0,-10.0,10000.0,0.7865922999154699
425,5.0,-10.0,10000.0,0.7778690104180831
426,5.0,-10.0,10000.0,0.7756620644232137
427,5.0,-10.0,10000.0,0.7559823808621149
428,5.0,-10.0,10000.0,0.8101513371110833
429,5.0,-10.0,10000.0,0.7650089529624268
430,5.0,-10.0,10000.0,0.7703027733828522
431,5.0,-10.0,10000.0,0.7828612086132967
432,5.0,-10.0,10000.0,0.8116158155905303
433,5.0,-10.0,10000.0,0.7345989160828291
434,5.0,-10.0,10000.0,0.8026049929058775
435,5.0,-10.0,10000.0,0.6971620269218332
436,5.0,-10.0,10000.0,0.7449067737161125
437,5.0,-10.0,10000.0,0.8012547765348156
438,5.0,-10.0,10000.0,0.79761473431274
439,5.0,-10.0,10000.0,0.8138033726744462
440,5.0,-6.0,10000.0,0.9027707521967254
441,5.0,-6.0,10000.0,0.92377882534222
442,5.0,-6.0,10000.0,0.908949129126276
443,5.0,-6.0,10000.0,0.9173114591115896
444,5.0,-6.0,10000.0,0.916754062919831
445,5.0,-6.0,10000.0,0.9191787242278376
446,5.0,-6.0,10000.0,0.9161761982755088
447,5.0,-6.0,10000.0,0.8983778738260702
448,5.0,-6.0,10000.0,0.9306555647370278
449,5.0,-6.0,10000.0,0.9191275811435926
450,5.0,-6.0,10000.0,0.9070436750983492
451,5.0,-6.0,10000.0,0.9052928426257756
452,5.0,-6.0,10000.0,0.9290305713931184
453,5.0,-6.0,10000.0,0.8854277096956216
454,5.0,-6.0,10000.0,0.9178825176377152
455,5.0,-6.0,10000.0,0.8665463619271587
456,5.0,-6.0,10000.0,0.9097296420621486
457,5.0,-6.0,10000.0,0.933546724220229
458,5.0,-6.0,10000.0,0.9204097382774906
459,5.0,-6.0,10000.0,0.9367059014654596
460,5.0,-2.0,10000.0,0.9774440463446116
461,5.0,-2.0,10000.0,0.985026342792692
462,5.0,-2.0,10000.0,0.9772875309454344
463,5.0,-2.0,10000.0,0.9815655966597971
464,5.0,-2.0,10000.0,0.98074150959634
465,5.0,-2.0,10000.0,0.9799064541156752
466,5.0,-2.0,10000.0,0.9809479114721884
467,5.0,-2.0,10000.0,0.973565265599024
468,5.0,-2.0,10000.0,0.9810532220253873
469,5.0,-2.0,10000.0,0.9791578003646711
470,5.0,-2.0,10000.0,0.9787939624570366
471,5.0,-2.0,10000.0,0.979660284861298
472,5.0,-2.0,10000.0,0.9791545124561112
473,5.0,-2.0,10000.0,0.9744332814194936
474,5.0,-2.0,10000.0,0.9807826397186628
475,5.0,-2.0,10000.0,0.967116771021152
476,5.0,-2.0,10000.0,0.9800436832450478
477,5.0,-2.0,10000.0,0.9834118055684314
478,5.0,-2.0,10000.0,0.9839128939515512
479,5.0,-2.0,10000.0,0.982034125488284
480,5.0,-18.0,10000.0,0.4117183676212084
481,5.0,-18.0,10000.0,0.4887113005457026
482,5.0,-18.0,10000.0,0.4220643025279205
483,5.0,-18.0,10000.0,0.4759670100390125
484,5.0,-18.0,10000.0,0.43427641677046
485,5.0,-18.0,10000.0,0.4840261834020355
486,5.0,-18.0,10000.0,0.4236240578122437
487,5.0,-18.0,10000.0,0.3885973563032737
488,5.0,-18.0,10000.0,0.4490626946461756
489,5.0,-18.0,10000.0,0.429752726487017
490,5.0,-18.0,10000.0,0.4402184420135768
491,5.0,-18.0,10000.0,0.4330162254691461
492,5.0,-18.0,10000.0,0.4337259559593728
493,5.0,-18.0,10000.0,0.3677778691772014
494,5.0,-18.0,10000.0,0.4257899754139996
495,5.0,-18.0,10000.0,0.3701915923834731
496,5.0,-18.0,10000.0,0.415404690416753
497,5.0,-18.0,10000.0,0.422037837518778
498,5.0,-18.0,10000.0,0.4255612957525021
499,5.0,-18.0,10000.0,0.4468537828774061
500,8.0,-10.0,10000.0,0.6716683328529711
501,8.0,-10.0,10000.0,0.6660701302607481
502,8.0,-10.0,10000.0,0.6356453652796257
503,8.0,-10.0,10000.0,0.683272997316515
504,8.0,-10.0,10000.0,0.6679621272391397
505,8.0,-10.0,10000.0,0.6749506986338929
506,8.0,-10.0,10000.0,0.6634199275460473
507,8.0,-10.0,10000.0,0.6280698985169714
508,8.0,-10.0,10000.0,0.636466876076231
509,8.0,-10.0,10000.0,0.6608637666368753
510,8.0,-10.0,10000.0,0.6819450161870021
511,8.0,-10.0,10000.0,0.6782976976421751
512,8.0,-10.0,10000.0,0.700396691710931
513,8.0,-10.0,10000.0,0.6548539515363274
514,8.0,-10.0,10000.0,0.616532236338249
515,8.0,-10.0,10000.0,0.7133186541855384
516,8.0,-10.0,10000.0,0.6628518035917693
517,8.0,-10.0,10000.0,0.6759822168749905
518,8.0,-10.0,10000.0,0.6871924760587806
519,8.0,-10.0,10000.0,0.6411695046543537
520,8.0,-6.0,10000.0,0.8658254411274164
521,8.0,-6.0,10000.0,0.851630725292002
522,8.0,-6.0,10000.0,0.8797552704089069
523,8.0,-6.0,10000.0,0.8578640330072262
524,8.0,-6.0,10000.0,0.8665079541050839
525,8.0,-6.0,10000.0,0.8765400931646564
526,8.0,-6.0,10000.0,0.8636077327382605
527,8.0,-6.0,10000.0,0.8439430481412682
528,8.0,-6.0,10000.0,0.8421247555091664
529,8.0,-6.0,10000.0,0.8588630006242678
530,8.0,-6.0,10000.0,0.8738217723051624
531,8.0,-6.0,10000.0,0.8543732016533617
